1	JOURNAL	JOURNAL	NN	O	journal	_	0	1	['P1,387 184 578 211']
2	OF	OF<	IN	O	of	_	0	1	['P1,598 185 650 211']
3	THE	THE	DT	O	the	det	5	1	['P1,670 185 752 211']
4	ALBERTA	ALBERTA	NNP	LOCATION	ALBERTA	nn	5	1	['P1,772 185 962 211']
5	SOCIETY	SOCIETY	NNP	O	SOCIETY	prep_of	1	1	['P1,983 184 1155 211']
6	OF	OF	IN	O	of	_	0	1	['P1,1175 185 1229 211']
7	PETROLEUM	PETROIRUE	NNP	O	PETROLEUM	nn	8	1	['P1,1248 184 1498 211']
8	GEOLOGISTS	GEOLOGISTS	NNP	O	GEOLOGISTS	prep_of	1	1	['P1,1521 183 1772 211']

1	VOLUME	VOLUME	NN	O	volume	_	0	2	['P1,634 235 752 256']
2	10	>0	CD	NUMBER	10	num	1	2	['P1,774 235 811 260']
3	,	,	,	O	,	_	0	2	['P1,774 235 811 260']
4	NUMBER	NUMBER	NN	O	number	appos	1	2	['P1,831 235 951 255']
5	7	7	CD	NUMBER	7	number	6	2	['P1,970 236 983 255']
6	(	<	CD	NUMBER	(	num	7	2	['P1,1008 235 1224 260']
7	JULY-AUGUST	JULY-AUGUST	NN	O	july-august	dep	4	2	['P1,1008 235 1224 260']
8	,	,	,	O	,	_	0	2	['P1,1008 235 1224 260']
9	1962	>962	CD	DATE	1962	num	10	2	['P1,1248 235 1335 260']
10	)	)	NN	O	)	appos	1	2	['P1,1248 235 1335 260']
11	,	,	,	O	,	_	0	2	['P1,1248 235 1335 260']
12	PP	PP	NN	O	pp	appos	1	2	['P1,1355 236 1393 256']
13	.	.	.	O	.	_	0	2	['P1,1355 236 1393 256']

1	443-453	443-453	NN	O	443-453	_	0	3	['P1,1416 235 1524 256']
2	'	T	''	O	'	_	0	3	['P1,337 281 427 311']

1	l.	II	NN	O	l.	nn	3	4	['P1,337 281 427 311']
2	?	I	CD	NUMBER	?	num	3	4	['P1,337 281 427 311']
3	l.	,	NN	O	l.	_	0	4	['P1,337 281 427 311']
4	?		SYM	O	?	dep	6	4	['P1,337 281 427 311']
5	-		:	O	-	_	0	4	['P1,337 281 427 311']
6	lE		NN	O	le	dep	3	4	['P1,337 281 427 311']
7	BE	BP	VB	O	be	rcmod	6	4	['P1,447 281 929 312']
8	.	S	.	O	.	_	0	4	['P1,447 281 929 312']

1	\	.	NN	O	\	nn	2	5	['P1,447 281 929 312']
2	VERl1	>.VIi	NN	O	verl1	nsubj	5	5	['P1,447 281 929 312']
3	?	h	CD	NUMBER	?	num	5	5	['P1,447 281 929 312']
4	OO	I'	NN	O	oo	nn	5	5	['P1,447 281 929 312']
5	?	O	NN	O	?	_	0	5	['P1,447 281 929 312']
6	l	O	NN	O	l	tmod	5	5	['P1,447 281 929 312']
7	?	T	SYM	O	?	dep	5	5	['P1,447 281 929 312']
8	-	-	:	O	-	_	0	5	['P1,447 281 929 312']
9	BRISCO	BHIHCi?	NNP	PERSON	BRISCO	nsubj	13	5	['P1,447 281 929 312']
10	l4	IP	NN	O	l4	nn	13	5	['P1,948 281 1215 312']
11	?	O	CD	NUMBER	?	num	13	5	['P1,948 281 1215 312']
12	ORMATlOl	IIIIATIO	NN	O	ormatlol	nn	13	5	['P1,948 281 1215 312']
13	\	X	NN	O	\	parataxis	5	5	['P1,948 281 1215 312']
14	'		''	O	'	_	0	5	['P1,948 281 1215 312']
15	IN	IX	IN	O	in	_	0	5	['P1,1232 282 1279 312']
16	THE	TI<IIP	DT	O	the	det	19	5	['P1,1296 281 1387 311']
17	ST.	ST.	NN	O	st.	nn	19	5	['P1,1406 280 1644 312']
18	~	>	NN	O	~	nn	19	5	['P1,1406 280 1644 312']
19	\	<	NN	O	\	prep_in	13	5	['P1,1406 280 1644 312']
20	.	X	.	O	.	_	0	5	['P1,1406 280 1644 312']

1	\	I	NN	O	\	_	0	6	['P1,1406 280 1644 312']
2	?	'	CD	NUMBER	?	num	4	6	['P1,1406 280 1644 312']
3	FORD	OHD	NNP	O	FORD	nn	4	6	['P1,1406 280 1644 312']
4	RANGE	HAX(<	NNP	O	RANGE	dep	1	6	['P1,1661 280 1825 318']
5	,	1;,	,	O	,	_	0	6	['P1,1661 280 1825 318']

1	l	B	NN	O	l	nn	6	7	['P1,847 329 1033 360']
2	%	I	NN	O	%	nn	6	7	['P1,847 329 1033 360']
3	Rl	),	NN	O	rl	nn	6	7	['P1,847 329 1033 360']
4	'	I	''	O	'	_	0	7	['P1,847 329 1033 360']
5	l?lSl-l	T[SI-.I	NN	O	l?lsl-l	nn	6	7	['P1,847 329 1033 360']
6	C	C	NN	O	c	_	0	7	['P1,1059 328 1310 360']
7	?	O	SYM	O	?	dep	6	7	['P1,1059 328 1310 360']
8	-	I	:	O	-	_	0	7	['P1,1059 328 1310 360']
9	OLU	~L'	NN	O	olu	dep	6	7	['P1,1059 328 1310 360']
10	;	.	:	O	;	_	0	7	['P1,1059 328 1310 360']
11	\	'	CD	NUMBER	\	num	12	7	['P1,1059 328 1310 360']
12	liBl	>IBI	NN	O	libl	dep	9	7	['P1,1059 328 1310 360']
13	.	>	.	O	.	_	0	7	['P1,1059 328 1310 360']

1	-	c	:	O	-	_	0	8	['P1,1059 328 1310 360']
2	'	'	''	O	'	_	0	8	['P1,1059 328 1310 360']
3	\		CD	NUMBER	\	num	4	8	['P1,1059 328 1310 360']
4	l		NN	O	l	_	0	8	['P1,1059 328 1310 360']

1	B.	B.	NNP	O	B.	nn	2	9	['P1,945 389 982 419']
2	b	<	NN	O	b	_	0	9	['P1,1003 389 1034 419']
3	&	>	CC	O	&	_	0	9	['P1,1003 389 1034 419']
4	+	.	CC	O	+	cc	5	9	['P1,1003 389 1034 419']
5	N	<	NN	O	n	conj_and	2	9	['P1,1055 390 1210 419']
6	(	<	CD	NUMBER	(	number	7	9	['P1,1055 390 1210 419']
7	)	<	CD	NUMBER	)	num	8	9	['P1,1055 390 1210 419']
8	rn	oa	NN	O	rn	dep	5	9	['P1,1055 390 1210 419']
9	?	?	NN	O	?	dep	2	9	['P1,1055 390 1210 419']
10	'	0	''	O	'	_	0	9	['P1,1055 390 1210 419']
11	om	>>	FW	O	om	nn	12	9	['P1,1055 390 1210 419']
12	)	n	FW	O	)	dep	9	9	['P1,1055 390 1210 419']

1	Geological	Geological	JJ	O	geological	amod	2	10	['P1,746 431 926 463']
2	Survey	Survey	NN	O	survey	_	0	10	['P1,942 432 1063 464']
3	of	of	IN	O	of	_	0	10	['P1,1078 432 1112 458']
4	Canada	Canada	NNP	LOCATION	Canada	nn	6	10	['P1,1129 432 1267 463']
5	,	,	,	O	,	_	0	10	['P1,1129 432 1267 463']
6	Ottawa	Ottawa	NNP	LOCATION	Ottawa	prep_of	2	10	['P1,1283 431 1410 458']

1	ABSTR	ABs'>	NN	O	abstr	_	0	11	['P1,984 471 1171 491']
2	.	'	.	O	.	_	0	11	['P1,984 471 1171 491']

1	-	I	:	O	-	_	0	12	['P1,984 471 1171 491']
2	\	>	NN	O	\	nn	3	12	['P1,984 471 1171 491']
3	C	A	NN	O	c	_	0	12	['P1,984 471 1171 491']
4	?	.	CD	NUMBER	?	num	6	12	['P1,984 471 1171 491']
5	l.	C'	NN	O	l.	nn	6	12	['P1,984 471 1171 491']
6	?	r	NN	O	?	dep	3	12	['P1,984 471 1171 491']

1	The	The	DT	O	the	det	3	13	['P1,370 505 435 530']
2	Beaverfoot-Brisco	Beaverfoot-Brisco	NNP	MISC	Beaverfoot-Brisco	nn	3	13	['P1,455 505 771 531']
3	formation	formation	NN	O	formation	nsubjpass	10	13	['P1,789 505 964 531']
4	of	of	IN	O	of	_	0	13	['P1,984 505 1018 531']
5	the	the	DT	O	the	det	7	13	['P1,1036 505 1090 531']
6	Stanford	Stanford	NNP	ORGANIZATION	Stanford	nn	7	13	['P1,1107 504 1260 531']
7	Range	Range	NNP	ORGANIZATION	Range	prep_of	3	13	['P1,1278 505 1389 537']
8	can	can	MD	O	can	aux	10	13	['P1,1407 512 1464 531']
9	be	be	VB	O	be	auxpass	10	13	['P1,1484 505 1521 530']
10	divided	divided	VBN	O	divide	_	0	13	['P1,1538 504 1661 531']
11	into	into	IN	O	into	_	0	13	['P1,1679 504 1745 530']
