1	Proc	Proc	NNP	O	Proc	_	0	1	['P1,30 82 109 107']
2	.	.	.	O	.	_	0	1	['P1,30 82 109 107']

1	Natl.	Natl.	NNP	O	Natl.	nn	2	2	['P1,122 81 198 107']
2	Acad	Acad	NNP	O	Acad	_	0	2	['P1,210 81 298 108']
3	.	.	.	O	.	_	0	2	['P1,210 81 298 108']

1	Sci	Sci	NNP	O	Sci	_	0	3	['P1,313 82 367 108']
2	.	.	.	O	.	_	0	3	['P1,313 82 367 108']

1	USA	USA	NNP	LOCATION	USA	nn	2	4	['P1,385 82 452 108']
2	Vol	Vol	NNP	O	Vol	_	0	4	['P1,31 114 92 140']
3	.	.	.	O	.	_	0	4	['P1,31 114 92 140']

1	90	90	CD	NUMBER	90	_	0	5	['P1,106 114 148 144']
2	,	,	,	O	,	_	0	5	['P1,106 114 148 144']
3	pp	pp	NN	O	pp	appos	1	5	['P1,162 122 207 146']
4	.	.	.	O	.	_	0	5	['P1,162 122 207 146']

1	9413-9416	9413-9416	CD	DATE	9413-9416	_	0	6	['P1,221 115 383 145']
2	,	,	,	DATE	,	_	0	6	['P1,221 115 383 145']
3	October	October	NNP	DATE	October	nn	5	6	['P1,397 114 518 141']
4	1993	1993	CD	DATE	1993	num	5	6	['P1,531 115 594 141']
5	Evolution	Evolution	NN	O	evolution	appos	1	6	['P1,31 155 176 181']

1	Early	Early	RB	O	early	advmod	3	7	['P1,31 256 199 315']
2	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	3	7	['P1,223 256 564 306']
3	mammal	mammal	NN	O	mammal	_	0	7	['P1,588 257 843 305']
4	from	from	IN	O	from	_	0	7	['P1,866 257 1010 306']
5	North	North	NNP	LOCATION	North	nn	6	7	['P1,1033 257 1211 306']
6	America	America	NNP	LOCATION	America	prep_from	3	7	['P1,1234 257 1491 306']
7	and	and	CC	O	and	_	0	7	['P1,1513 258 1621 306']
8	the	the	DT	O	the	det	9	7	['P1,1644 258 1740 307']
9	evolution	evolution	NN	O	evolution	prep_from	3	7	['P1,1763 258 2043 307']
10	of	of	IN	O	of	_	0	7	['P1,2066 258 2129 307']
11	marsupial	marsupial	JJ	O	marsupial	amod	13	7	['P1,31 322 334 382']
12	dental	dental	JJ	O	dental	amod	13	7	['P1,358 322 547 372']
13	characters	characters	NNS	O	character	prep_of	3	7	['P1,567 322 888 372']

1	(	(	NN	O	(	nn	3	8	['P1,105 411 264 441']
2	vertebrate	vertebrate	NN	O	vertebrate	nn	3	8	['P1,105 411 264 441']
3	paleontology/biogeography/Tribosphenida	paleontology/biogeography/Trlbosphentda	NN	O	paleontology/biogeography/tribosphenida	_	0	8	['P1,275 409 1100 443']
4	/	/	:	O	/	punct	5	8	['P1,275 409 1100 443']
5	Metatheria	Metatheria	NNP	LOCATION	Metatheria	dep	3	8	['P1,275 409 1100 443']
6	)	)	CD	NUMBER	)	num	5	8	['P1,275 409 1100 443']

1	RICHARD	RICHARD	NNP	PERSON	RICHARD	nn	3	9	['P1,30 487 200 519']
2	L.	L.	NNP	PERSON	L.	nn	3	9	['P1,216 487 255 519']
3	CIFELLI	CIFELLI	NNP	PERSON	CIFELLI	_	0	9	['P1,274 487 423 519']

1	Oklahoma	Oklahoma	NNP	LOCATION	Oklahoma	nn	2	10	['P1,30 558 163 581']
2	Museum	Museum	NNP	LOCATION	Museum	dep	17	10	['P1,172 558 284 581']
3	of	of	IN	O	of	_	0	10	['P1,294 558 322 581']
4	Natural	Natural	NNP	O	Natural	nn	5	10	['P1,330 558 429 581']
5	History	History	NN	O	history	prep_of	2	10	['P1,439 558 537 587']
6	and	and	CC	O	and	_	0	10	['P1,548 558 595 582']
7	Department	Department	NNP	ORGANIZATION	Department	conj_and	2	10	['P1,605 559 759 587']
8	of	of	IN	ORGANIZATION	of	_	0	10	['P1,769 558 797 582']
9	Zoology	Zoology	NNP	ORGANIZATION	Zoology	nn	11	10	['P1,805 559 919 587']
10	,	,	,	O	,	_	0	10	['P1,805 559 919 587']
11	University	University	NNP	ORGANIZATION	University	prep_of	7	10	['P1,932 558 1068 587']
12	of	of	IN	ORGANIZATION	of	_	0	10	['P1,1078 559 1107 582']
13	Oklahoma	Oklahoma	NNP	ORGANIZATION	Oklahoma	nn	15	10	['P1,1114 559 1255 586']
14	,	,	,	O	,	_	0	10	['P1,1114 559 1255 586']
15	Nonnan	Norman	NNP	O	Nonnan	prep_of	11	10	['P1,1266 559 1381 586']
16	,	,	,	O	,	_	0	10	['P1,1266 559 1381 586']
17	OK	OK	JJ	O	ok	_	0	10	['P1,1393 559 1439 583']
18	73019	73019	CD	NUMBER	73019	tmod	17	10	['P1,1449 560 1522 583']

1	Communicated	Communicated	VBN	O	communicate	_	0	11	['P1,24 667 505 723']
2	by	by	IN	O	by	_	0	11	['P1,527 667 599 734']
3	Edwin	Edwin	NNP	PERSON	Edwin	nn	5	11	['P1,623 668 820 723']
4	H.	H.	NNP	PERSON	H.	nn	5	11	['P1,846 669 923 723']
5	Colbert	Colbert	NNP	PERSON	Colbert	prep_by	1	11	['P1,956 668 1207 731']
6	,	,	,	O	,	_	0	11	['P1,956 668 1207 731']
7	July	July	NNP	DATE	July	appos	5	11	['P1,1234 667 1365 735']
8	12	12	CD	DATE	12	num	7	11	['P1,1394 669 1478 731']
9	,	,	,	DATE	,	_	0	11	['P1,1394 669 1478 731']
10	1993	1993	CD	DATE	1993	num	7	11	['P1,1511 669 1649 724']

1	ABSTRACT	ASSTRACT	NN	O	abstract	nn	3	12	['P1,23 877 454 938']
2	A	A	NN	O	a	nn	3	12	['P1,617 878 673 936']
3	mammal	mammal	NN	O	mammal	nsubj	24	12	['P1,697 879 998 937']
4	from	from	IN	O	from	_	0	12	['P1,1021 878 1189 937']
5	the	the	DT	O	the	det	7	12	['P1,1213 879 1319 937']
6	Early	Early	JJ	O	early	amod	7	12	['P1,1341 879 1531 953']
7	Cretaceous	Cretaceous	JJ	O	cretaceous	prep_from	3	12	['P1,1555 879 1933 940']
8	of	of	IN	O	of	_	0	12	['P1,1956 879 2028 938']
9	the	the	DT	O	the	det	12	12	['P1,2044 880 2149 938']
10	western	western	JJ	O	western	amod	12	12	['P1,22 971 285 1026']
11	United	United	NNP	LOCATION	United	nn	12	12	['P1,309 967 538 1026']
12	States	States	NNPS	LOCATION	States	prep_of	7	12	['P1,562 967 788 1038']
13	,	,	,	O	,	_	0	12	['P1,562 967 788 1038']
14	represented	represented	VBN	O	represent	partmod	3	12	['P1,815 968 1218 1042']
15	by	by	IN	O	by	_	0	12	['P1,1242 968 1324 1042']
16	a	a	DT	O	a	det	18	12	['P1,1347 985 1387 1027']
17	lower	lower	JJR	O	lower	amod	18	12	['P1,1408 968 1599 1027']
18	jaw	jaw	NN	O	jaw	agent	14	12	['P1,1612 967 1743 1042']
19	exceptional	exceptional	JJ	O	exceptional	amod	18	12	['P1,1765 968 2149 1043']
