1	Geo	Geo	NNP	O	Geo	_	0	1	['P1,83 89 149 114']
2	]	l	CD	NUMBER	]	dep	1	1	['P1,83 89 149 114']
3	.	.	.	O	.	_	0	1	['P1,83 89 149 114']

1	Mag	Mag	NN	O	mag	_	0	2	['P1,162 91 229 121']
2	.	.	.	O	.	_	0	2	['P1,162 91 229 121']

1	137	137	CD	NUMBER	137	number	2	3	['P1,243 90 290 114']
2	(	(	CD	NUMBER	(	_	0	3	['P1,299 89 342 121']
3	4	4	CD	NUMBER	4	num	4	3	['P1,299 89 342 121']
4	)	)	NN	O	)	dep	2	3	['P1,299 89 342 121']
5	,	,	,	O	,	_	0	3	['P1,299 89 342 121']
6	2000	2000	CD	DATE	2000	appos	2	3	['P1,352 90 424 118']
7	,	,	,	O	,	_	0	3	['P1,352 90 424 118']
8	pp	pp	NN	O	pp	appos	6	3	['P1,432 98 471 121']
9	.	.	.	O	.	_	0	3	['P1,432 98 471 121']

1	381-394	38/???3	CD	NUMBER	381-394	_	0	4	['P1,483 90 604 114']
2	.	94.	.	O	.	_	0	4	['P1,483 90 604 114']

1	Printed	Printed	NNP	O	Printed	_	0	5	['P1,626 89 731 114']
2	in	in	IN	O	in	_	0	5	['P1,737 91 761 114']
3	the	the	DT	O	the	det	5	5	['P1,771 89 811 114']
4	United	United	NNP	LOCATION	United	nn	5	5	['P1,823 89 914 114']
5	Kingdom	Kingdom	NNP	LOCATION	Kingdom	prep_in	1	5	['P1,919 89 1043 121']
6	?	?	CD	NUMBER	?	num	5	5	['P1,1062 90 1159 115']
7	2000	2000	CD	DATE	2000	num	13	5	['P1,1062 90 1159 115']
8	Cambridge	Cambridge	NNP	ORGANIZATION	Cambridge	nn	13	5	['P1,1170 89 1319 121']
9	University	University	NNP	ORGANIZATION	University	nn	13	5	['P1,1331 90 1467 121']
10	Press	Press	NNP	ORGANIZATION	Press	nn	13	5	['P1,1475 91 1549 114']
11	P	3	NN	O	p	nn	13	5	['P1,2014 81 2075 114']
12	W	8	NN	O	w	nn	13	5	['P1,2014 81 2075 114']
13	^	1	NN	O	^	dep	1	5	['P1,2014 81 2075 114']
14	+		CC	O	+	rcmod	13	5	['P1,2014 81 2075 114']

1	Shallow	Shallow	JJ	O	shallow	amod	3	6	['P1,157 196 407 251']
2	marine	marine	JJ	O	marine	amod	3	6	['P1,424 196 644 251']
3	Lower	Lower	NNP	O	Lower	_	0	6	['P1,665 198 865 251']
4	and	and	CC	O	and	_	0	6	['P1,885 196 1001 251']
5	Middle	Middle	NNP	O	Middle	nn	7	6	['P1,1021 196 1246 251']
6	Miocene	Miocene	NNP	O	Miocene	nn	7	6	['P1,1267 196 1538 251']
7	deposits	deposits	NNS	O	deposit	conj_and	3	6	['P1,1558 196 1813 266']
8	at	at	IN	O	at	_	0	6	['P1,1835 204 1891 251']
9	the	the	DT	O	the	det	11	6	['P1,1910 196 2005 251']
10	southern	southern	JJ	O	southern	amod	11	6	['P1,128 279 405 334']
11	margin	margin	NN	O	margin	prep_at	3	6	['P1,422 279 646 349']
12	of	of	IN	O	of	_	0	6	['P1,666 279 736 334']
13	the	the	DT	O	the	det	17	6	['P1,754 279 850 334']
14	North	North	NNP	LOCATION	North	nn	17	6	['P1,868 279 1065 334']
