1	Available	Availab!e	JJ	O	available	amod	2	1	['P1,665 113 813 142']
2	online	ortline	NN	O	online	_	0	1	['P1,823 113 925 142']
3	at	at	IN	O	at	_	0	1	['P1,935 117 965 142']
4	www.sciencedirect.com	vvttttvv,st;iencedirect.corn	NNP	O	www.sciencedirect.com	prep_at	2	1	['P1,975 113 1362 142']

1	K		NNP	O	K	nn	4	2	['P1,228 225 268 268']
2	s.	SC	NN	O	s.	nn	4	2	['P1,792 162 1237 251']
3	=	v	JJ	O	=	amod	4	2	['P1,792 162 1237 251']
4	.....	tRI4C	NN	O	.....	_	0	2	['P1,792 162 1237 251']
5	=	'	JJ	O	=	dep	4	2	['P1,792 162 1237 251']
6	.	8	.	O	.	_	0	2	['P1,792 162 1237 251']

1	@	Q	SYM	O	@	dep	4	3	['P1,792 162 1237 251']
2	.....	IREC'	FW	O	.....	nn	4	3	['P1,792 162 1237 251']
3	.....	r~	FW	O	.....	nn	4	3	['P1,792 162 1237 251']
4	pA	PA	NN	O	pa	_	0	3	['P1,1679 163 2023 231']
5	|	L	CD	NUMBER	|	number	6	3	['P1,1679 163 2023 231']
6	_	A	CD	NUMBER	_	dep	4	3	['P1,1679 163 2023 231']
7	AEa	EO	NN	O	aea	dep	6	3	['P1,1679 163 2023 231']

1	ELSEVIER	ELSEVIER	NNP	O	ELSEVIER	nn	6	4	['P1,137 294 354 327']
2	Palaeogeography	Palaeogeography	NNP	O	Palaeogeography	nn	6	4	['P1,527 301 758 332']
3	,	,	,	O	,	_	0	4	['P1,527 301 758 332']
4	Palaeoclimatology	Palaeoclimatology	NNP	O	Palaeoclimatology	appos	6	4	['P1,771 301 1019 332']
5	,	,	,	O	,	_	0	4	['P1,771 301 1019 332']
6	Palaeoecology	Palaeoecology	NNP	O	Palaeoecology	_	0	4	['P1,1032 301 1223 332']
7	206	206	CD	NUMBER	206	num	6	4	['P1,1235 302 1283 325']
8	(	(	CD	NUMBER	(	num	9	4	['P1,1296 302 1382 332']
9	2004	2004	CD	DATE	2004	dep	6	4	['P1,1296 302 1382 332']
10	)	)	CD	NUMBER	)	num	11	4	['P1,1296 302 1382 332']
11	75-102	75???102	CD	NUMBER	75-102	dep	6	4	['P1,1395 302 1500 325']

1	www.elsevier.com/locate/palaeo	www.elsevier.corn/locate/palaeo	NN	O	www.elsevier.com/locate/palaeo	_	0	5	['P1,1601 344 2024 374']

1	Upper	Upper	NNP	MISC	Upper	nn	4	6	['P1,275 451 451 514']
2	Triassic	Triassic	NNP	MISC	Triassic	nn	4	6	['P1,475 449 689 500']
3	carbonate	carbonate	NN	O	carbonate	nn	4	6	['P1,717 449 984 500']
4	deposits	deposits	NNS	O	deposit	_	0	6	['P1,1012 449 1237 514']
5	of	of	IN	O	of	_	0	6	['P1,1265 449 1328 500']
6	Seram	Scram	NNP	O	Seram	nn	9	6	['P1,1348 450 1522 500']
7	(	(	NNP	O	(	nn	9	6	['P1,1548 449 1877 514']
8	Indonesia	Indonesia	NNP	LOCATION	Indonesia	nn	9	6	['P1,1548 449 1877 514']
9	)	)	NNP	O	)	prep_of	4	6	['P1,1548 449 1877 514']
10	:	:	:	O	:	_	0	6	['P1,1548 449 1877 514']

1	palaeogeographic	palaeogeographic	JJ	O	palaeogeographic	_	0	7	['P1,402 532 893 597']
2	and	and	CC	O	and	_	0	7	['P1,921 532 1021 583']
3	geodynamic	geodynamic	JJ	O	geodynamic	amod	4	7	['P1,1046 532 1384 597']
4	implications	implications	NNS	O	implication	conj_and	1	7	['P1,1412 532 1752 597']

1	R.	R.	NNP	PERSON	R.	nn	2	8	['P1,136 658 181 695']
2	Martinia	Martini'	NNP	PERSON	Martinia	_	0	8	['P1,203 648 432 703']
3	?	*	CD	NUMBER	?	num	4	8	['P1,203 648 432 703']
4	*	,	CD	NUMBER	*	dep	2	8	['P1,203 648 432 703']
5	,		,	O	,	_	0	8	['P1,203 648 432 703']
6	L.	L.	NNP	PERSON	L.	nn	7	8	['P1,453 658 495 695']
7	Zaninettia	Zaninetti'	NNP	PERSON	Zaninettia	appos	4	8	['P1,517 653 742 703']
8	,	,	,	O	,	_	0	8	['P1,517 653 742 703']
9	B.	B.	NNP	PERSON	B.	nn	10	8	['P1,763 658 808 695']
10	Lathuilliereb	Lathuilliere,	NNP	PERSON	Lathuilliereb	appos	4	8	['P1,831 645 1113 703']
11	,		,	O	,	_	0	8	['P1,831 645 1113 703']
12	S.	S.	NNP	PERSON	S.	nn	14	8	['P1,1137 657 1173 695']
13	Cirilli	Cirilli	NNP	PERSON	Cirilli	nn	14	8	['P1,1197 653 1354 703']
14	?	'	NN	O	?	appos	4	8	['P1,1197 653 1354 703']
15	,	,	,	O	,	_	0	8	['P1,1197 653 1354 703']
16	J.-J	J.-J	NN	O	j.-j	appos	4	8	['P1,1375 658 1457 695']
17	.	.	.	O	.	_	0	8	['P1,1375 658 1457 695']

1	Com?ed	Cornee	NNP	MISC	Com?ed	nn	3	9	['P1,1481 645 1669 703']
2	,	,	,	O	,	_	0	9	['P1,1481 645 1669 703']
3	M.	M.	NNP	PERSON	M.	_	0	9	['P1,1690 658 1747 695']
